label,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,coord_21,coord_22,coord_23,coord_24,coord_25,coord_26,coord_27,coord_28,coord_29,coord_30,coord_31,coord_32,coord_33,coord_34,coord_35,coord_36,coord_37,coord_38,coord_39,coord_40,coord_41,coord_42,coord_43,coord_44,coord_45,coord_46,coord_47,coord_48,coord_49,coord_50,coord_51,coord_52,coord_53,coord_54,coord_55,coord_56,coord_57,coord_58,coord_59,coord_60,coord_61,coord_62,coord_63,coord_64,coord_65,coord_66,coord_67,coord_68,coord_69,coord_70,coord_71,coord_72,coord_73,coord_74,coord_75,coord_76,coord_77,coord_78,coord_79,coord_80,coord_81,coord_82,coord_83
Hello,0.0,0.0,-0.046550631523132324,-0.01598268747329712,-0.07456636428833008,-0.06659027934074402,-0.07776832580566406,-0.11552172899246216,-0.08137226104736328,-0.15151184797286987,-0.09130597114562988,-0.1600455641746521,-0.13132840394973755,-0.2040230631828308,-0.16410303115844727,-0.21847844123840332,-0.1935577392578125,-0.22613105177879333,-0.07552021741867065,-0.18396031856536865,-0.11970561742782593,-0.23616349697113037,-0.156494140625,-0.25904688239097595,-0.19097471237182617,-0.27543145418167114,-0.052426815032958984,-0.19479864835739136,-0.08893221616744995,-0.2572757303714752,-0.12166833877563477,-0.2837368845939636,-0.154632568359375,-0.29898323118686676,-0.023032724857330322,-0.19773289561271667,-0.038161396980285645,-0.25703907012939453,-0.0600590705871582,-0.28201401233673096,-0.08706742525100708,-0.29358863830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04624658823013306,-0.014484941959381104,-0.07495403289794922,-0.06447610259056091,-0.08116084337234497,-0.11381322145462036,-0.0889473557472229,-0.14965587854385376,-0.09049153327941895,-0.1588437259197235,-0.13074535131454468,-0.20282667875289917,-0.16371041536331177,-0.21881943941116333,-0.193681001663208,-0.2288709580898285,-0.07464265823364258,-0.18328633904457092,-0.11917036771774292,-0.235538512468338,-0.1557706594467163,-0.25970524549484253,-0.19024187326431274,-0.2780933082103729,-0.05175459384918213,-0.19524645805358887,-0.08893567323684692,-0.25736933946609497,-0.12135744094848633,-0.2835134267807007,-0.15399813652038574,-0.2989930659532547,-0.02226889133453369,-0.19964122772216797,-0.03894054889678955,-0.2583518326282501,-0.06125593185424805,-0.2825426459312439,-0.08832800388336182,-0.29344938695430756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04677915573120117,-0.015036582946777344,-0.07540303468704224,-0.06743824481964111,-0.07927298545837402,-0.11797237396240234,-0.08524197340011597,-0.15458208322525024,-0.09292489290237427,-0.1602517068386078,-0.13280051946640015,-0.20398163795471191,-0.16592329740524292,-0.21960756182670593,-0.19598615169525146,-0.2287735939025879,-0.07693523168563843,-0.18449857831001282,-0.12101304531097412,-0.23696213960647583,-0.15810662508010864,-0.26019030809402466,-0.19323652982711792,-0.2773956060409546,-0.05387145280838013,-0.1955479085445404,-0.09129548072814941,-0.25866758823394775,-0.12461787462234497,-0.2842993140220642,-0.15804874897003174,-0.2990470677614212,-0.02431344985961914,-0.1986369788646698,-0.04152500629425049,-0.2586538791656494,-0.06436073780059814,-0.2829880714416504,-0.09184414148330688,-0.2938843369483948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04725301265716553,-0.016290783882141113,-0.0745972990989685,-0.06781983375549316,-0.07780539989471436,-0.11648985743522644,-0.08238685131072998,-0.15095630288124084,-0.09188514947891235,-0.16229599714279175,-0.13248997926712036,-0.2036978006362915,-0.1657053828239441,-0.219185471534729,-0.1962883472442627,-0.23028895258903503,-0.07606297731399536,-0.18592971563339233,-0.12083983421325684,-0.23660698533058167,-0.158180832862854,-0.25969889760017395,-0.19348371028900146,-0.2773668169975281,-0.05332517623901367,-0.19659435749053955,-0.09088033437728882,-0.2584471106529236,-0.12482362985610962,-0.2833555340766907,-0.15865027904510498,-0.29674433171749115,-0.02439361810684204,-0.1996903121471405,-0.04154825210571289,-0.25990167260169983,-0.06519204378128052,-0.28370022773742676,-0.09320604801177979,-0.29285937547683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04697316884994507,-0.015039145946502686,-0.07401740550994873,-0.06626540422439575,-0.07563984394073486,-0.11617591977119446,-0.07860785722732544,-0.15211623907089233,-0.09176552295684814,-0.1600743532180786,-0.13162225484848022,-0.20322132110595703,-0.1648465394973755,-0.21828901767730713,-0.19455918669700623,-0.2275497317314148,-0.07676559686660767,-0.1843089759349823,-0.1213914155960083,-0.23636183142662048,-0.15917623043060303,-0.25849857926368713,-0.19452297687530518,-0.2746622562408447,-0.054376840591430664,-0.19556266069412231,-0.09220850467681885,-0.2585052251815796,-0.12613284587860107,-0.28280723094940186,-0.159831702709198,-0.29565127193927765,-0.02509486675262451,-0.1990063488483429,-0.042465031147003174,-0.2595568895339966,-0.06606262922286987,-0.2834906578063965,-0.09419417381286621,-0.29308515787124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04767221212387085,-0.01563882827758789,-0.07488763332366943,-0.06371286511421204,-0.08020824193954468,-0.11052072048187256,-0.08901780843734741,-0.14471137523651123,-0.09396791458129883,-0.1586017608642578,-0.13533622026443481,-0.19992542266845703,-0.16904431581497192,-0.21630021929740906,-0.19945406913757324,-0.22787421941757202,-0.0791473388671875,-0.183152437210083,-0.1249893307685852,-0.23399969935417175,-0.16265392303466797,-0.25686001777648926,-0.1976737082004547,-0.2740001082420349,-0.05724501609802246,-0.19476079940795898,-0.09549927711486816,-0.25622135400772095,-0.12938016653060913,-0.281441867351532,-0.162756085395813,-0.29559510946273804,-0.028360188007354736,-0.19871532917022705,-0.046506643295288086,-0.2585902810096741,-0.07066196203231812,-0.2816925346851349,-0.09894752502441406,-0.2903801202774048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04714697599411011,-0.01532137393951416,-0.07516402006149292,-0.0635538399219513,-0.0801580548286438,-0.11034440994262695,-0.08799147605895996,-0.14418283104896545,-0.09313178062438965,-0.15736988186836243,-0.13401895761489868,-0.19901835918426514,-0.16704988479614258,-0.21465358138084412,-0.19652104377746582,-0.22538700699806213,-0.07823121547698975,-0.1814175248146057,-0.1236845850944519,-0.2327180802822113,-0.16108465194702148,-0.25551241636276245,-0.19593214988708496,-0.27248018980026245,-0.05609172582626343,-0.19275790452957153,-0.09337610006332397,-0.2550552785396576,-0.1263056993484497,-0.2800505757331848,-0.15907984972000122,-0.29377132654190063,-0.02704852819442749,-0.19645023345947266,-0.04453819990158081,-0.2554783225059509,-0.06784796714782715,-0.27818235754966736,-0.09564435482025146,-0.2868950366973877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04938912391662598,-0.014014780521392822,-0.07681465148925781,-0.06886380910873413,-0.08076941967010498,-0.11944514513015747,-0.0865943431854248,-0.1564546823501587,-0.09668689966201782,-0.15357720851898193,-0.13698887825012207,-0.19479584693908691,-0.1700323224067688,-0.21314409375190735,-0.20004618167877197,-0.22740113735198975,-0.0835539698600769,-0.17696693539619446,-0.13020336627960205,-0.22485828399658203,-0.16889798641204834,-0.24673017859458923,-0.20509076118469238,-0.26472118496894836,-0.06406658887863159,-0.18976008892059326,-0.10497182607650757,-0.24523913860321045,-0.14287316799163818,-0.26857343316078186,-0.17901068925857544,-0.28158366680145264,-0.03844505548477173,-0.19599172472953796,-0.06825834512710571,-0.24836310744285583,-0.09941273927688599,-0.26580730080604553,-0.13069969415664673,-0.2696107029914856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04748868942260742,-0.017440319061279297,-0.07602596282958984,-0.07490891218185425,-0.07905632257461548,-0.12425822019577026,-0.08601599931716919,-0.15948864817619324,-0.10098737478256226,-0.1531294584274292,-0.1419156789779663,-0.19533690810203552,-0.17398542165756226,-0.21541470289230347,-0.20317542552947998,-0.23251581192016602,-0.08859187364578247,-0.17438548803329468,-0.13463830947875977,-0.22046741843223572,-0.1714332103729248,-0.24289235472679138,-0.2061995267868042,-0.2618308663368225,-0.0696290135383606,-0.18529653549194336,-0.11227869987487793,-0.23877882957458496,-0.14842438697814941,-0.2612261176109314,-0.18312883377075195,-0.27551841735839844,-0.04426991939544678,-0.19034868478775024,-0.07924479246139526,-0.24161747097969055,-0.1100890040397644,-0.25850844383239746,-0.14067643880844116,-0.26437458395957947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hello,0.0,0.0,-0.04870295524597168,-0.017312049865722656,-0.07690691947937012,-0.07331037521362305,-0.07827943563461304,-0.12058195471763611,-0.08300715684890747,-0.15514320135116577,-0.10170841217041016,-0.15268975496292114,-0.1429274082183838,-0.1957491636276245,-0.17541491985321045,-0.21553632616996765,-0.20469385385513306,-0.23158413171768188,-0.0905524492263794,-0.17202094197273254,-0.13774585723876953,-0.21809685230255127,-0.1754533052444458,-0.24066078662872314,-0.21086859703063965,-0.2579299807548523,-0.07297027111053467,-0.18186232447624207,-0.11731189489364624,-0.2342560887336731,-0.15445464849472046,-0.2573432922363281,-0.19025522470474243,-0.2714136242866516,-0.04918617010116577,-0.18608057498931885,-0.08524596691131592,-0.23523402214050293,-0.11560362577438354,-0.2523787319660187,-0.14567214250564575,-0.2589046359062195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
